musica	fileId	titulo_drive	mimetype	modificado	slug_destino
ALEM DO IMPOSSIVEL	1uG1dSbETKMzRXHXPqHo-jVEXFuXXBm-bdc6TrtQ-PEc	ALÉM DO IMPOSSÍVEL_C_masculino	application/vnd.google-apps.document	2026-06-06T14:17:19.523Z	alem-do-impossivel-c-masculino.txt
ALEM DO IMPOSSIVEL	1aYvlSfjkz_4LRlNLT74jJMp2Jy13RUpLMwbOswnaDP8	ALÉM DO IMPOSSÍVEL_E_feminino	application/vnd.google-apps.document	2026-06-06T14:14:25.536Z	alem-do-impossivel-e-feminino.txt
AO UNICO	1LeNOQlTPq_pvN3j5GuvlGN38GDbB2f-wv9Xe3rZ96h0	AO ÚNICO_Ab	application/vnd.google-apps.document	2026-08-18T15:53:04.769Z	ao-unico-ab.txt
AO UNICO	1AiGjcDOSedM_2kH7JzdR8Z4ReI31QMpMjauQCU8F4Mw	AO ÚNICO_C	application/vnd.google-apps.document	2026-08-18T15:53:04.560Z	ao-unico-c.txt
AO UNICO	1d4u5jDBXs9IzAfBq_4bB13dMIvn0-acvgzuHx5fFCCo	Vim Para Adorar-Te / Ao Único / A Ele a Glória	application/vnd.google-apps.document	2025-10-08T16:13:14.470Z	vim-para-adorar-te-ao-unico-a-ele-a-gloria.txt
ATOS 2	1ezxlqla55E1WqD3AHGk7_hsDQh3NxqqWQdrC9NBOz30	Atos 2_G_Feminino	application/vnd.google-apps.document	2026-08-23T00:50:15.130Z	atos-2-g-feminino.txt
ATOS 2	1-16FUGaz1a6tg6jx-84fPZes0ysYWsiN7LfqquX3FWw	Atos 2_F_Contralto	application/vnd.google-apps.document	2026-08-23T00:48:39.683Z	atos-2-f-contralto.txt
ATOS 2	1udioM9ZB1HjtKY0DJMXoag48f3f2FOoXprwDxAmiX18	Atos 2_C_Tenor	application/vnd.google-apps.document	2026-08-23T00:48:37.272Z	atos-2-c-tenor.txt
BENDITO E O REI	1PxfPNyRA7oTRSTU1Zg69tpH1otFd6jnqXqYDIHN6lGg	Bendito é o Rei	application/vnd.google-apps.document	2025-11-20T21:11:41.568Z	bendito-e-o-rei.txt
CAMINHO NO DESERTO	1gK3gj78GgEq81M2AH-SuYt9hpa2R2zZc07CWnQpoYjw	CAMINHO NO DESERTO - TOM_G	application/vnd.google-apps.document	2026-08-23T01:03:10.971Z	caminho-no-deserto-tom-g.txt
CAMINHO NO DESERTO	1pukHx6aWLBzQkBlfml-5-MX-rcYhX7nA2JQfg90zrvY	CAMINHO NO DESERTO_G	application/vnd.google-apps.document	2026-08-18T14:22:02.026Z	caminho-no-deserto-g.txt
CANCAO DO CEU	1srTyKCzZwUKqbi3ePMvzDDxwvyjmXVWiMN-Lwg2KMYI	Canção do Céu_E	application/vnd.google-apps.document	2026-08-12T17:20:58.433Z	cancao-do-ceu-e.txt
CONFIAREI	17iwpE9DXR55VPGMI9h0YXGgOIUHvPCUPHrITyxvA43Y	CONFIAREI (tom geral)	application/vnd.google-apps.document	2026-08-23T00:48:32.028Z	confiarei-tom-geral.txt
DIGNO DE TUDO	1Ke3ChHvikr4YqjUm3gA4VLKoHJXg_g9SADg12hHFRuU	DIGNO DE TUDO - TOM_C	application/vnd.google-apps.document	2026-08-23T01:03:52.795Z	digno-de-tudo-tom-c.txt
DIGNO DE TUDO	1227d54hXQjxfyJpkMBVfp6nL1VDy-bQqpiAJYdQwoig	DIGNO DE TUDO - TOM_F	application/vnd.google-apps.document	2026-08-23T01:03:50.650Z	digno-de-tudo-tom-f.txt
DIGNO DE TUDO	1aaP1vCsJ8dpkGAf9yEwiGG5Ob0f6VWLsf6GslKcEOyA	DIGNO DE TUDO_C	application/vnd.google-apps.document	2026-08-18T14:21:35.874Z	digno-de-tudo-c.txt
DIGNO DE TUDO	1kNFmCNiJLihskKC2WqwHoMv3bpzOrlVe-YkjpGRie5s	DIGNO DE TUDO_D	application/vnd.google-apps.document	2026-08-18T14:13:47.318Z	digno-de-tudo-d.txt
DIGNO E O SENHOR	1WhQIce5TzbYXMA_7_YsivdvhJF6UjcmmaJcazLW2xzY	DIGNO É O SENHOR - TOM_G	application/vnd.google-apps.document	2026-08-23T00:50:52.512Z	digno-e-o-senhor-tom-g.txt
DIGNO E O SENHOR	16O_W1C2179aVcl8yOO-myDFtK403tM6mCv_uv7zXLcs	DIGNO É O SENHOR_E_Contralto	application/vnd.google-apps.document	2026-08-23T00:49:50.907Z	digno-e-o-senhor-e-contralto.txt
